line_no, Core 0 lines , Core 1 lines
0 , 99 , 0
1 , 0 , 0
2 , 0 , 0
3 , 0 , 0
4 , 211 , 0
5 , 0 , 0
6 , 180 , 0
7 , 0 , 183
8 , 0 , 0
9 , 140 , 316
10 , 0 , 0
11 , 0 , 365
12 , 0 , 0
13 , 174 , 0
14 , 0 , 0
15 , 149 , 195
16 , 0 , 180
17 , 402 , 0
18 , 0 , 205
19 , 0 , 0
20 , 178 , 0
21 , 0 , 715
22 , 205 , 0
23 , 143 , 0
24 , 138 , 247
25 , 0 , 0
26 , 0 , 0
27 , 0 , 286
28 , 0 , 0
29 , 0 , 0
30 , 0 , 0
31 , 153 , 0
32 , 185 , 0
33 , 235 , 0
34 , 0 , 193
35 , 0 , 186
36 , 0 , 422
37 , 0 , 0
38 , 0 , 0
39 , 174 , 214
40 , 0 , 0
41 , 0 , 0
42 , 146 , 0
43 , 201 , 0
44 , 379 , 354
45 , 348 , 0
46 , 0 , 168
47 , 0 , 0
48 , 131 , 162
49 , 194 , 219
50 , 244 , 0
51 , 175 , 180
52 , 0 , 0
53 , 0 , 0
54 , 262 , 370
55 , 0 , 0
56 , 182 , 163
57 , 0 , 0
58 , 0 , 202
59 , 0 , 0
60 , 0 , 320
61 , 400 , 0
62 , 167 , 0
63 , 152 , 0
64 , 0 , 0
65 , 0 , 0
66 , 171 , 0
67 , 162 , 136
68 , 0 , 0
69 , 0 , 0
70 , 0 , 0
71 , 0 , 248
72 , 0 , 167
73 , 152 , 0
74 , 0 , 336
75 , 176 , 214
76 , 0 , 412
77 , 0 , 0
78 , 0 , 0
79 , 0 , 0
80 , 119 , 225
81 , 215 , 0
82 , 126 , 164
83 , 0 , 0
84 , 152 , 0
85 , 0 , 0
86 , 176 , 207
87 , 0 , 171
88 , 120 , 202
89 , 0 , 150
90 , 0 , 188
91 , 0 , 151
92 , 0 , 181
93 , 0 , 0
94 , 0 , 0
95 , 0 , 156
96 , 207 , 0
97 , 0 , 180
98 , 0 , 0
99 , 161 , 141
100 , 0 , 130
101 , 0 , 0
102 , 0 , 0
103 , 0 , 221
104 , 0 , 0
105 , 0 , 0
106 , 177 , 118
107 , 190 , 0
108 , 0 , 0
109 , 194 , 0
110 , 160 , 140
111 , 0 , 193
112 , 0 , 339
113 , 166 , 0
114 , 0 , 175
115 , 427 , 203
116 , 0 , 0
117 , 0 , 0
118 , 168 , 0
119 , 459 , 0
120 , 416 , 326
121 , 0 , 213
122 , 0 , 0
123 , 0 , 146
124 , 0 , 0
125 , 0 , 233
126 , 142 , 0
127 , 0 , 213
128 , 0 , 355
129 , 0 , 311
130 , 337 , 0
131 , 0 , 0
132 , 0 , 0
133 , 0 , 0
134 , 0 , 0
135 , 0 , 0
136 , 0 , 372
137 , 0 , 0
138 , 0 , 324
139 , 0 , 551
140 , 175 , 234
141 , 0 , 147
142 , 199 , 0
143 , 0 , 0
144 , 589 , 257
145 , 0 , 0
146 , 0 , 317
147 , 146 , 163
148 , 0 , 0
149 , 712 , 0
150 , 153 , 0
151 , 0 , 156
152 , 0 , 212
153 , 302 , 248
154 , 176 , 0
155 , 0 , 0
156 , 172 , 0
157 , 0 , 192
158 , 0 , 629
159 , 0 , 205
160 , 351 , 0
161 , 186 , 179
162 , 0 , 0
163 , 447 , 0
164 , 0 , 0
165 , 0 , 0
166 , 225 , 174
167 , 0 , 603
168 , 178 , 0
169 , 0 , 151
170 , 0 , 0
171 , 0 , 0
172 , 167 , 0
173 , 249 , 0
174 , 230 , 0
175 , 0 , 0
176 , 167 , 0
177 , 329 , 247
178 , 0 , 239
179 , 0 , 0
180 , 0 , 191
181 , 0 , 0
182 , 0 , 0
183 , 173 , 0
184 , 0 , 0
185 , 0 , 0
186 , 0 , 0
187 , 0 , 0
188 , 0 , 177
189 , 417 , 0
190 , 0 , 0
191 , 202 , 0
192 , 0 , 0
193 , 0 , 357
194 , 173 , 328
195 , 166 , 0
196 , 0 , 229
197 , 0 , 0
198 , 314 , 0
199 , 161 , 0
200 , 0 , 0
201 , 0 , 0
202 , 203 , 0
203 , 329 , 0
204 , 0 , 0
205 , 0 , 0
206 , 332 , 0
207 , 0 , 0
208 , 186 , 0
209 , 0 , 289
210 , 252 , 0
211 , 218 , 0
212 , 571 , 200
213 , 0 , 0
214 , 0 , 188
215 , 0 , 0
216 , 0 , 0
217 , 0 , 0
218 , 0 , 0
219 , 0 , 185
220 , 141 , 0
221 , 0 , 0
222 , 0 , 0
223 , 275 , 0
224 , 229 , 162
225 , 0 , 0
226 , 121 , 0
227 , 283 , 200
228 , 0 , 191
229 , 0 , 0
230 , 0 , 0
231 , 0 , 0
232 , 0 , 532
233 , 0 , 0
234 , 168 , 380
235 , 175 , 182
236 , 366 , 0
237 , 0 , 162
238 , 0 , 0
239 , 0 , 0
240 , 229 , 0
241 , 150 , 0
242 , 192 , 180
243 , 202 , 132
244 , 0 , 468
245 , 644 , 0
246 , 0 , 0
247 , 0 , 0
248 , 156 , 0
249 , 0 , 198
250 , 0 , 0
251 , 0 , 175
252 , 164 , 0
253 , 0 , 0
254 , 0 , 196
255 , 129 , 0
256 , 0 , 0
257 , 331 , 0
258 , 207 , 0
259 , 0 , 190
260 , 371 , 0
261 , 0 , 0
262 , 0 , 0
263 , 0 , 0
264 , 0 , 0
265 , 132 , 155
266 , 0 , 0
267 , 0 , 0
268 , 217 , 154
269 , 182 , 0
270 , 0 , 0
271 , 0 , 146
272 , 121 , 180
273 , 0 , 0
274 , 0 , 0
275 , 172 , 0
276 , 103 , 0
277 , 0 , 0
278 , 0 , 0
279 , 0 , 170
280 , 0 , 0
281 , 387 , 388
282 , 222 , 122
283 , 194 , 0
284 , 157 , 177
285 , 0 , 196
286 , 0 , 173
287 , 213 , 214
288 , 175 , 0
289 , 216 , 370
290 , 331 , 0
291 , 360 , 0
292 , 257 , 0
293 , 0 , 0
294 , 0 , 154
